model,mnist_accuracy_mean,mnist_accuracy_std,challenge_accuracy_mean,challenge_accuracy_std,mnist_macro_f1_mean,challenge_macro_f1_mean
rbf_svm_ova,0.947,0.0014142135623730963,0.75,0.04242640687119289,0.9468707291026328,0.7377521568082355
random_forest,0.9255,0.004949747468305798,0.7033333333333334,0.02357022603955154,0.9253272989087231,0.685171032118159
knn_1,0.9159999999999999,0.00353553390593278,0.6833333333333333,0.03299831645537219,0.915481612945119,0.6757351102377448
mlp,0.9145000000000001,0.010606601717798262,0.66,0.04714045207910316,0.9142433338116872,0.649431157286145
logistic_regression_ova,0.8845,0.008485281374238578,0.6266666666666667,0.0,0.8836128689915674,0.6076136729621076
linear_svm_ova,0.86725,0.013081475451951102,0.5433333333333333,0.004714045207910269,0.8661413493414124,0.5266200148474598
