digit,precision,recall,f1,support
0,0.9230769230769231,0.8,0.8571428571428571,15
1,0.6818181818181818,1.0,0.8108108108108109,15
2,0.5625,0.6,0.5806451612903226,15
3,0.6,0.4,0.48,15
4,0.8333333333333334,0.3333333333333333,0.47619047619047616,15
5,0.48,0.8,0.6,15
6,0.7142857142857143,1.0,0.8333333333333334,15
7,0.7272727272727273,0.5333333333333333,0.6153846153846154,15
8,0.5294117647058824,0.6,0.5625,15
9,0.3333333333333333,0.2,0.25,15
